None 29
None 53
None 47
None 53
None 74
None 58
None 75
None 53
None 49
None 55
None 60
None 64
None 58
None 48
None 51
None 51
None 46
None 54
None 60
None 56
38.522406 -121.4090265 89
38.522413167 -121.409027167 62
38.522434167 -121.409027833 66
38.522469667 -121.409028833 66
38.522511667 -121.409029667 64
38.522559 -121.4090305 58
38.522606333 -121.4090305 67
38.522668833 -121.409033 62
38.522732667 -121.409034667 63
38.522795667 -121.409035333 62
38.522860833 -121.409035667 62
38.522938 -121.409037833 72
38.5230255 -121.409040167 73
38.523115833 -121.409040167 70
38.5232055 -121.4090405 72
38.523292 -121.409042667 77
38.523381667 -121.409042667 86
38.523477833 -121.409041333 75
38.523579167 -121.4090385 67
38.523684167 -121.409036667 61
38.523788333 -121.409035833 68
38.523894333 -121.409032833 68
38.5239995 -121.409029833 69
38.524106333 -121.4090285 65
38.524211167 -121.409028 71
38.524304833 -121.409026667 81
38.524382667 -121.409023333 62
38.524458167 -121.4090225 57
38.524525667 -121.409022667 75
38.524586833 -121.409024 60
38.524638333 -121.409025 70
38.52468 -121.409026333 64
38.524714667 -121.409028333 70
38.524738833 -121.4090285 64
38.5247495 -121.409028833 68
38.524754833 -121.40903 60
38.524754 -121.4090305 71
38.524755333 -121.40903 65
38.524755 -121.4090305 50
38.5247565 -121.409031 80
38.524756667 -121.4090315 67
38.524759 -121.409032167 64
38.524759833 -121.409032167 75
38.524762 -121.4090325 58
38.524762833 -121.409033 55
38.5247635 -121.409033167 63
38.524765 -121.409034167 59
38.524768167 -121.409034667 59
38.524768833 -121.409035 52
38.524769833 -121.409035 57
38.524768667 -121.4090355 66
38.524768 -121.409036333 71
38.524767333 -121.409036333 60
38.524767833 -121.4090365 57
38.524768333 -121.4090365 59
38.524769667 -121.409036333 76
38.524771167 -121.409036833 79
38.524770833 -121.4090375 51
38.524770333 -121.409038833 62
38.52477 -121.4090395 81
38.524770833 -121.409040167 71
38.524770333 -121.409041167 65
38.524769 -121.409041667 56
38.524769667 -121.409042 73
38.524769333 -121.409042167 48
38.524769167 -121.409042333 57
38.5247695 -121.409043 57
38.524769833 -121.409043333 57
38.52477 -121.409044 80
38.524770833 -121.409044 58
38.524770333 -121.409044667 68
38.524770667 -121.409045167 62
38.524772333 -121.409045333 75
38.524772333 -121.409045 71
38.524772333 -121.409044333 66
38.5247715 -121.409043667 55
38.524771333 -121.409043667 78
38.524771333 -121.409043 62
38.524771833 -121.409043167 72
38.524771833 -121.409042833 40
38.524771833 -121.409042833 64
38.524771833 -121.409041833 63
38.524771333 -121.409041667 59
38.524771 -121.409041167 49
38.524770833 -121.409041333 67
38.524769 -121.4090415 57
38.524768667 -121.409040667 55
38.5247685 -121.409040667 67
38.524770167 -121.4090405 65
38.524771 -121.409039333 53
38.524771167 -121.409039 60
38.524771167 -121.409038667 57
38.524770167 -121.4090385 81
38.524768333 -121.409039167 61
38.524768 -121.409039 77
38.5247665 -121.4090395 66
38.524764833 -121.40904 55
38.524762833 -121.40904 55
38.524762167 -121.40904 57
38.52476 -121.409039833 64
38.524757833 -121.409039833 79
38.524756 -121.40904 70
38.524754333 -121.409040333 54
38.524753333 -121.409040167 57
38.524752167 -121.409040167 68
38.524749833 -121.409040167 61
38.524747667 -121.4090405 59
38.524745667 -121.4090405 72
38.524744 -121.409040667 71
38.5247415 -121.409040833 66
38.5247395 -121.409040833 63
38.524737333 -121.409040833 61
38.524736167 -121.409041 56
38.5247345 -121.409041333 70
38.524733167 -121.409041833 69
38.524731833 -121.409042167 71
38.524731833 -121.409042167 72
38.5247315 -121.409042167 58
38.524731 -121.409042667 49
38.5247305 -121.409042667 63
38.524729333 -121.4090425 72
38.524727 -121.409041833 51
38.524725333 -121.409041333 70
38.524725 -121.409041 61
38.524735833 -121.409041 61
38.5247695 -121.409041 65
38.524823667 -121.409040333 65
38.524892833 -121.4090395 69
38.524974 -121.409039 62
38.5250655 -121.409037833 46
38.525167833 -121.409036667 54
38.525280167 -121.409036333 62
38.525398833 -121.409036 70
38.5255245 -121.4090375 66
38.525657 -121.409041 60
38.525796833 -121.409046333 67
38.525941833 -121.409054 64
38.526094667 -121.409065167 59
38.526250167 -121.4090765 69
38.526409333 -121.409086167 57
38.5265705 -121.409091333 53
38.526737667 -121.409094667 63
38.5269095 -121.409098 51
38.527085167 -121.409101 45
38.527266 -121.4091045 61
38.527450667 -121.409109 54
38.527635833 -121.409112833 56
38.527824833 -121.409115 58
38.528014333 -121.409115667 62
38.528206 -121.409116667 64
38.528397333 -121.409118333 68
38.528587333 -121.40912 70
38.528775 -121.409121667 66
38.528961 -121.409122 68
